# line workload mrep throughput
1 Load_A skip_list 3030.3030303030305
2 Load_A cuckoo 20.424836601307188
3 Load_A prefix_hash 3184.7133757961783
4 Load_A hash_linkedlist 3215.434083601286
6 A skip_list 5882.35294117647
7 A cuckoo 26.021337496747332
8 A prefix_hash 5988.023952095808
9 A hash_linkedlist 5952.380952380952
11 B skip_list 6493.506493506494
12 B cuckoo 34.28297164798245
13 B prefix_hash 6756.756756756757
14 B hash_linkedlist 6622.516556291391
16 C skip_list 6578.9473684210525
17 C cuckoo 23.089355806972986
18 C prefix_hash 6711.4093959731545
19 C hash_linkedlist 6535.9477124183
21 D skip_list 6060.606060606061
22 D cuckoo 21.65064518922664
23 D prefix_hash 5988.023952095808
24 D hash_linkedlist 6097.5609756097565
26 Load_E skip_list 181.8181818181818
27 Load_E cuckoo 12.87001287001287
28 Load_E prefix_hash 172.41379310344828
29 Load_E hash_linkedlist 175.43859649122808
31 E skip_list 200.0
32 E cuckoo 3.058103975535168
33 E prefix_hash 200.0
34 E hash_linkedlist 192.30769230769232
36 F skip_list 4672.897196261682
37 F cuckoo 17.553714365959838
38 F prefix_hash 4761.9047619047615
39 F hash_linkedlist 4761.9047619047615
